property_id,address_line1,city,province,postal_code,property_type,assessed_value,created_at
PROP00098,1759 Duke St,Calgery,BC,M1E 7V8,Condo,347939.34,2023-09-02
PROP00099,5819 Queen St,London,AB,V1M 7M5,Townhouse,572204.76,2024-11-14
PROP00100,8206 Queen St,Tornto,BC,V2H 4G4,Detached,941532.28,2024-10-10
PROP00101,7012 Queen St,Missisauga,QC,E2P 9P7,Commercial,679116.23,2023-05-30
PROP00102,7633 Main St,London,MB,T9E 2H5,Condo,938645.56,2023-12-18
PROP00103,7107 Elm St,Montreal,QC,L6N 4Y8,Townhouse,556618.2,2022-06-19
PROP00104,4079 King St,Calgery,MB,J4R 4M4,Townhouse,865925.54,2023-01-23
PROP00105,1290 Cedar St,Vancouver,BC,N7B 0Y8,Townhouse,983601.1,2023-09-25
PROP00106,9387 Cedar St,Kitchener,MB,B8J 6N6,Commercial,473287.18,2024-11-13
PROP00107,7400 Main St,Waterloo ,BC,C0B 6M9,Semi-Detached,347299.01,2022-12-28
PROP00108,9132 Maple St,Missisauga,MB,P9T 2P9,Townhouse,470353.48,2023-07-16
PROP00109,6086 Queen St,Waterloo ,NS,H9S 5N2,Condo,300838.37,2024-12-13
PROP00110,2138 Lakeshore St,Vancuver,ON,,Detached,876331.8,2025-05-13
PROP00111,2373 Elm St,Vancuver,ON,H5V7S8,Commercial,623739.44,2023-01-13
PROP00112,4798 Cedar St,Calgery,MB,R5K 4H4,Townhouse,611755.71,2024-07-23
PROP00113,4145 King St,Calgery,NS,K4V 2V9,Townhouse,415129.37,2023-12-14
PROP00114,4643 Lakeshore St,Vancouver,NS,B1G 1N4,Commercial,692957.87,2024-05-22
PROP00115,4034 Main St,Hamiltion,BC,12345,Townhouse,500824.26,2025-03-13
PROP00116,1627 Duke St,Montreal ,ON,J2X 0L0,Townhouse,817608.05,2023-03-25
PROP00117,5380 Victoria St,Londn,NS,Y8G0K2,Condo,887125.54,2024-11-28
PROP00118,9384 Duke St,Kitchener,QC,K1C 7N1,Commercial,864240.2,2022-07-26
PROP00119,6726 Elm St,BrampTon,AB,N8B 1R7,Semi-Detached,792646.68,2024-01-28
PROP00120,7870 Maple St,Vancuver,QC,Y8J 3B8,Townhouse,930034.21,2025-01-12
PROP00121,3928 Queen St,Waterloo ,AB,T1N 3S7,Semi-Detached,815395.22,2023-07-28
PROP00122,9865 Main St,Tornto,NS,T6Y4B0,Condo,699272.83,2024-05-21
PROP00123,2361 Main St,Ottowa,AB,M3Y 6X9,Commercial,749004.55,2024-05-28
PROP00124,254 Elm St,Mississauga,ON,R9M 8J9,Semi-Detached,424409.77,2023-11-25
PROP00125,3604 Elm St,Calgery,QC,,Commercial,618892.99,2024-11-16
PROP00126,7462 Lakeshore St,Montréal,ON,S5H 8L2,Condo,375206.81,2025-01-10
PROP00127,9279 Victoria St,Ottowa,MB,M2L 4L0,Commercial,541451.71,2024-02-28
PROP00128,6407 Main St,London,AB,B1A 4V0,Semi-Detached,613930.23,2022-11-02
PROP00129,2916 King St,Missisauga,MB,P1B 2N9,Condo,521590.32,2023-02-10
PROP00130,722 King St,Montreal ,MB,G1T 1P3,Condo,898018.05,2022-09-11
PROP00131,4150 Victoria St,toronto,ON,S7V 0B6,Townhouse,643216.85,2023-11-19
PROP00132,1705 Duke St,Tornto,MB,T1P 4E0,Commercial,674497.09,2024-09-04
PROP00133,7528 King St,Hamilton,BC,R3N 9R6,Semi-Detached,523060.8,2023-02-15
PROP00134,2956 Elm St,BrampTon,QC,A6L 9E1,Detached,891822.14,2022-12-04
PROP00135,7514 Queen St,Hamilton,AB,L6J 9L1,Commercial,478926.7,2023-11-19
PROP00136,2231 Victoria St,Londn,AB,L4T 0X9,Semi-Detached,1268105.17,2022-07-15
PROP00137,9589 Maple St,Hamiltion,BC,G7V 9Y4,Condo,896290.15,2024-02-25
PROP00138,727 Victoria St,Brampton,AB,H9X 7K1,Condo,113997.35,2025-08-05
PROP00139,6464 Elm St,Vancouver,ON,Y9H 5M4,Commercial,0.0,2023-11-01
PROP00140,331 Queen St,Waterloo ,MB,S5R 7B7,Detached,617424.07,2023-01-21
PROP00141,9444 Cedar St,Calgary,NS,K3G 3S6,Detached,670317.89,2024-01-22
PROP00142,9987 Victoria St,Hamilton,ON,C4A 8H3,Detached,710236.85,2024-11-17
PROP00143,3230 Lakeshore St,Kitchner,NS,E9N 0X9,Townhouse,592617.74,2023-01-31
PROP00144,3038 Duke St,Montréal,ON,H6S 8N2,Commercial,992939.57,2025-07-27
PROP00145,4131 Maple St,Calgery,AB,J2T 0H3,Semi-Detached,777305.56,2023-10-03
PROP00146,3313 Duke St,Londn,ON,12345,Townhouse,843369.89,2022-10-04
PROP00147,8918 Main St,toronto,BC,,Condo,795503.2,2023-04-27
PROP00148,5820 Queen St,Mississauga,AB,,Commercial,879623.55,2024-08-18
PROP00149,5943 Main St,Mississauga,BC,H4P 3J0,Detached,-713774.8,2025-05-20
PROP00150,2035 Elm St,Ottowa,ON,S6H 1B8,Condo,514437.6,2024-04-02
PROP00151,4825 Elm St,Ottowa,AB,X3X 9N4,Detached,292261.41,2024-10-01
PROP00152,6443 Maple St,Mississauga,NS,H3M 4B5,Semi-Detached,693919.7,2025-04-03
PROP00153,1631 Elm St,Waterloo,NS,R4J 6N6,Condo,591389.02,2023-10-10
PROP00154,9256 Victoria St,Ottowa,ON,N1K 8V5,Semi-Detached,-782646.13,2024-02-02
PROP00155,7894 Duke St,Toronto,BC,R0M 8C7,Semi-Detached,745800.83,2022-09-02
PROP00156,6150 Maple St,Montréal,BC,R0P 6E9,Townhouse,875576.57,2024-09-21
PROP00157,1312 Maple St,Ottowa,MB,M7P 1V8,Townhouse,637877.54,2024-10-27
PROP00158,2203 Victoria St,Ottawa,NS,P9P 1P3,Townhouse,460099.15,2024-07-28
PROP00159,959 Duke St,Missisauga,QC,H3J 1Y8,Semi-Detached,473643.86,2024-09-09
PROP00160,893 Maple St,London,MB,M5S 1N4,Condo,449997.36,2022-11-16
PROP00161,8010 Main St,Vancouver,ON,J2T 5A3,Detached,697366.58,2025-07-18
PROP00162,8851 King St,Waterloo,BC,K1S 1K3,Commercial,590403.4,2024-03-12
PROP00163,4262 Duke St,Waterloo,ON,K2B 4C1,Semi-Detached,825239.69,2022-07-09
PROP00164,6516 Queen St,Waterloo ,MB,12345,Semi-Detached,697800.09,2024-12-04
PROP00165,7566 Elm St,BrampTon,AB,G8E 0R3,Commercial,477085.15,2023-07-19
PROP00166,7829 Queen St,Calgery,NS,L7R 1T0,Townhouse,700965.3,2024-12-10
PROP00167,9597 Queen St,Ottawa,ON,N7K 5Y6,Detached,1137113.58,2024-03-18
PROP00168,9875 Queen St,Waterloo,BC,,Semi-Detached,405595.16,2022-11-29
PROP00169,5481 Victoria St,Mississauga,AB,12345,Semi-Detached,685045.51,2023-10-22
PROP00170,9710 Main St,Waterloo ,BC,N7S 5P9,Semi-Detached,634644.27,2023-10-10
PROP00171,2005 Lakeshore St,Hamiltion,ON,G8C 8L3,Semi-Detached,937814.25,2022-07-08
PROP00172,6802 Cedar St,Vancuver,ON,E5R 2J7,Townhouse,431386.47,2023-05-31
PROP00173,429 Duke St,Vancuver,NS,X7G 4K4,Semi-Detached,431246.28,2025-05-16
PROP00174,4950 Cedar St,Londn,BC,12345,Condo,1278636.45,2025-05-23
PROP00175,5271 Victoria St,Calgary,NS,S9A 2S6,Townhouse,409563.05,2022-12-13
PROP00176,1787 Duke St,London,BC,H8P 5E7,Condo,642885.83,2025-07-08
PROP00177,4187 Queen St,Calgary,NS,X1E 7S2,Semi-Detached,662429.27,2023-09-06
PROP00178,906 Duke St,Ottawa,ON,,Townhouse,396191.52,2022-07-24
PROP00179,4793 Maple St,Montreal ,QC,A5R 7N5,Townhouse,752920.35,2025-05-10
PROP00180,8065 Cedar St,Londn,AB,G1V 7J7,Townhouse,473004.14,2022-07-14
PROP00181,5198 Duke St,Ottowa,NS,,Semi-Detached,588471.1,2025-03-25
PROP00182,4147 Main St,Londn,NS,,Detached,850472.37,2022-07-28
PROP00183,529 Victoria St,Montreal,MB,T8C 1E2,Commercial,819958.76,2023-10-15
PROP00184,1526 Main St,BrampTon,NS,K3R 5S0,Townhouse,534769.99,2024-08-12
PROP00185,5587 Duke St,BrampTon,NS,B9S 0G7,Condo,474262.74,2022-12-21
PROP00186,2641 Elm St,Montreal ,NS,R3X 5C3,Detached,1244876.72,2023-07-10
PROP00187,3796 Main St,Kitchner,BC,N5N1J8,Detached,678019.74,2022-10-21
PROP00188,1867 Queen St,Vancouver,BC,E2A 8N2,Townhouse,471920.18,2024-10-03
PROP00189,9209 Lakeshore St,Kitchner,MB,G1S 7T9,Semi-Detached,936254.84,2022-09-14
PROP00190,9474 Queen St,Waterloo,AB,N5X 9T6,Detached,462819.68,2024-03-23
PROP00191,1034 Duke St,Calgary,ON,K8G 8M2,Condo,761700.26,2023-07-12
PROP00192,9498 Main St,Londn,BC,H4V 0E7,Condo,653813.62,2025-04-09
PROP00193,1889 Queen St,Hamiltion,QC,L5N4R2,Commercial,430188.12,2023-01-23
PROP00194,3887 Main St,Missisauga,MB,X3C 6R3,Commercial,531302.26,2023-04-15
PROP00195,9902 Maple St,Mississauga,ON,R9A 2Y5,Semi-Detached,746284.25,2024-09-15
PROP00196,936 Elm St,Missisauga,NS,K8V 4G0,Condo,653057.61,2025-02-25
PROP00197,458 King St,Calgery,QC,N8X 5E6,Semi-Detached,668918.57,2022-07-14
PROP00198,8603 Main St,Montreal ,NS,L7N 2N1,Townhouse,756717.99,2023-06-07
PROP00199,1948 Elm St,Hamiltion,NS,S2G 6H0,Semi-Detached,630157.67,2025-08-10
PROP00200,3082 Elm St,,MB,K5H 6S2,Detached,513485.9,2025-07-21
PROP00201,932 Victoria St,Londn,QC,J7N 9C9,Commercial,798531.83,2023-06-25
PROP00202,5985 Cedar St,Waterloo,BC,G5Y 4K2,Semi-Detached,126996.09,2024-12-01
PROP00203,8427 King St,Calgary,MB,H3T 1E2,Condo,602859.51,2022-07-10
PROP00204,811 Queen St,Missisauga,NS,K0X 4T7,Commercial,147164.75,2025-02-23
PROP00205,2112 Elm St,Mississauga,BC,E5E 1L3,Detached,710930.91,2025-04-07
PROP00206,700 Elm St,Montreal ,AB,C5E 5E6,Townhouse,901125.77,2022-06-02
PROP00207,5444 Cedar St,Ottowa,NS,B0Y 9K8,Semi-Detached,538371.87,2025-03-21
PROP00208,4267 Cedar St,Londn,ON,X4R 5Y7,Semi-Detached,1075783.86,2024-04-17
PROP00209,7633 Lakeshore St,London,ON,B8R 9K0,Townhouse,662306.66,2023-04-12
PROP00210,5218 Lakeshore St,Mississauga,NS,T0N 3X3,Semi-Detached,926711.37,2022-07-19
PROP00211,987 Elm St,BrampTon,ON,E1L 8G8,Commercial,687284.25,2023-03-13
PROP00212,481 Lakeshore St,toronto,AB,V5X 0L1,Commercial,1258835.9,2025-03-16
PROP00213,9710 King St,Vancuver,AB,G5P 3P7,Detached,608511.05,2023-04-06
PROP00214,5556 Elm St,Kitchner,AB,E5G 1K3,Semi-Detached,786752.29,2023-01-31
PROP00215,9086 Maple St,Tornto,QC,E2G 5S5,Detached,916038.21,2025-08-13
PROP00216,4875 Victoria St,London,AB,12345,Townhouse,896267.38,2024-12-02
PROP00217,1069 King St,Waterloo,NS,K1M 0N1,Townhouse,1000440.66,2022-08-22
PROP00218,7575 Lakeshore St,Hamiltion,QC,Y8G 6P2,Condo,823874.93,2023-01-15
PROP00219,4989 Elm St,Montreal,MB,N9C 0K5,Commercial,897080.82,2022-12-10
PROP00220,4818 Maple St,Mississauga,AB,B6S 5J3,Townhouse,552779.8,2023-07-20
PROP00221,261 Cedar St,Brampton,AB,K6R 6L7,Commercial,496537.41,2024-05-28
PROP00222,5278 Main St,Londn,NS,J1G 2E8,Condo,532142.73,2022-06-18
PROP00223,8373 King St,Kitchener,NS,G7L 8A8,Commercial,486103.75,2025-04-02
PROP00224,3688 Elm St,Vancouver,NS,V3Y5M2,Condo,672206.09,2023-09-02
PROP00225,8364 King St,Kitchener,NS,12345,Townhouse,876067.84,2024-12-14
PROP00226,6089 Maple St,Calgery,QC,Y5R 1L9,Semi-Detached,710811.16,2024-07-18
PROP00227,6276 Maple St,London,BC,M5N 9H5,Townhouse,830255.48,2024-08-28
PROP00228,2778 Maple St,Kitchener,ON,A4V8J7,Semi-Detached,769048.78,2025-04-22
PROP00229,3607 Main St,Missisauga,NS,12345,Condo,228348.56,2022-11-22
PROP00230,2158 Victoria St,Calgary,BC,T9J 5B9,Townhouse,940950.95,2023-11-04
PROP00231,6167 Maple St,Tornto,ON,J1T 9N9,Semi-Detached,450324.15,2024-07-07
PROP00232,9580 Victoria St,Waterloo,BC,J5A 0E0,Semi-Detached,0.0,2023-06-15
PROP00233,6159 Duke St,Calgary,NS,H5B 0J4,Semi-Detached,649504.95,2023-06-19
PROP00234,4997 Cedar St,Montréal,NS,G5S 5S2,Condo,167640.43,2023-03-13
PROP00235,2488 Maple St,Brampton,BC,,Townhouse,917899.54,2024-02-10
PROP00236,422 Main St,Kitchner,BC,C3Y3N4,Condo,0.0,2024-07-08
PROP00237,9290 Queen St,Calgery,ON,G7R 4L8,Commercial,273475.9,2022-10-25
PROP00238,8362 Duke St,Vancuver,AB,C3L0T2,Commercial,-800126.35,2023-02-01
PROP00239,8631 Victoria St,Ottowa,ON,X1L 2J4,Townhouse,703830.02,2022-10-28
PROP00240,896 Queen St,Mississauga,BC,E7C 9H4,Semi-Detached,788872.43,2024-02-17
PROP00241,7867 Queen St,Missisauga,AB,,Townhouse,581383.91,2024-08-08
PROP00242,8193 Main St,Vancouver,BC,R3B 8R9,Townhouse,735588.27,2023-08-26
PROP00243,5846 Maple St,Mississauga,NS,P8A 5S8,Commercial,660132.79,2025-06-23
PROP00244,5607 Elm St,Hamiltion,QC,C1C 4R7,Semi-Detached,753259.35,2025-02-24
PROP00245,2501 Victoria St,Vancouver,MB,X8G 5L6,Commercial,470518.14,2025-02-12
PROP00246,7601 King St,Ottawa,ON,T7V 7M8,Semi-Detached,751248.1,2025-06-11
PROP00247,3940 Cedar St,Waterloo,QC,N7B 0E6,Commercial,1124904.98,2024-11-10
PROP00248,3949 King St,toronto,AB,J9G 9X2,Detached,878423.78,2025-05-30
PROP00249,7392 Elm St,Tornto,QC,T3R 5Y2,Detached,431573.7,2024-04-20
PROP00250,4477 King St,Waterloo ,MB,M3J 6P5,Detached,241501.71,2024-12-27
PROP00251,872 Victoria St,Kitchener,AB,B8R 6B7,Condo,499719.8,2024-04-30
PROP00252,2395 Duke St,Missisauga,ON,A7X 7Y3,Detached,640664.56,2022-08-12
PROP00253,9436 Queen St,Kitchener,ON,C8B 2K9,Condo,801290.71,2023-09-15
PROP00254,5331 King St,Londn,QC,G8T 6H6,Commercial,436732.31,2023-06-09
PROP00255,8273 Queen St,Londn,BC,L2Y 3V1,Condo,1176388.88,2022-11-15
PROP00256,5036 Maple St,Brampton,QC,J9E 2L3,Semi-Detached,708995.81,2023-03-30
PROP00257,1605 Maple St,Vancuver,NS,T3K 6H4,Semi-Detached,335660.6,2023-09-16
PROP00258,2994 King St,Hamilton,AB,S8P 0T7,Townhouse,965915.19,2022-08-08
PROP00259,2138 Duke St,Toronto,QC,V5T 2Y7,Townhouse,259848.8,2024-12-04
PROP00260,2070 Elm St,Missisauga,BC,C4N 7M1,Townhouse,263575.12,2024-03-01
